Индекс,Исходное,Норм. вручную,Норм. sklearn,Разница,Масшт. вручную,Масшт. sklearn,Разница
241,70.000000,0.004321,0.004321,0.000000,-0.544803,-0.544803,0.000000
242,814.000000,0.050247,0.050247,0.000000,0.402675,0.402675,0.000000
243,291.000000,0.017963,0.017963,0.000000,-0.263361,-0.263361,0.000000
244,579.000000,0.035741,0.035741,0.000000,0.103404,0.103404,0.000000
245,503.000000,0.031049,0.031049,0.000000,0.006619,0.006619,0.000000
246,1583.000000,0.097716,0.097716,0.000000,1.381990,1.381990,0.000000
247,68.000000,0.004198,0.004198,0.000000,-0.547350,-0.547350,0.000000
248,257.000000,0.015864,0.015864,0.000000,-0.306660,-0.306660,0.000000
249,191.000000,0.011790,0.011790,0.000000,-0.390710,-0.390710,0.000000
250,39.000000,0.002407,0.002407,0.000000,-0.584281,-0.584281,0.000000
251,572.000000,0.035309,0.035309,0.000000,0.094490,0.094490,0.000000
252,187.000000,0.011543,0.011543,0.000000,-0.395804,-0.395804,0.000000
253,611.000000,0.037716,0.037716,0.000000,0.144156,0.144156,0.000000
254,857.000000,0.052901,0.052901,0.000000,0.457435,0.457435,0.000000
255,77.000000,0.004753,0.004753,0.000000,-0.535889,-0.535889,0.000000
256,764.000000,0.047160,0.047160,0.000000,0.339000,0.339000,0.000000
257,360.000000,0.022222,0.022222,0.000000,-0.175490,-0.175490,0.000000
258,189.000000,0.011667,0.011667,0.000000,-0.393257,-0.393257,0.000000
259,261.000000,0.016111,0.016111,0.000000,-0.301566,-0.301566,0.000000
260,210.000000,0.012963,0.012963,0.000000,-0.366514,-0.366514,0.000000
261,1108.000000,0.068395,0.068395,0.000000,0.777082,0.777082,0.000000
262,298.000000,0.018395,0.018395,0.000000,-0.254447,-0.254447,0.000000
263,1266.000000,0.078148,0.078148,0.000000,0.978293,0.978293,0.000000
264,745.000000,0.045988,0.045988,0.000000,0.314804,0.314804,0.000000
265,160.000000,0.009877,0.009877,0.000000,-0.430189,-0.430189,0.000000
266,2663.000000,0.164383,0.164383,0.000000,2.757362,2.757362,0.000000
267,146.000000,0.009012,0.009012,0.000000,-0.448018,-0.448018,0.000000
268,1209.000000,0.074630,0.074630,0.000000,0.905704,0.905704,0.000000
269,765.000000,0.047222,0.047222,0.000000,0.340274,0.340274,0.000000
270,617.000000,0.038086,0.038086,0.000000,0.151797,0.151797,0.000000
271,774.000000,0.047778,0.047778,0.000000,0.351735,0.351735,0.000000
272,216.000000,0.013333,0.013333,0.000000,-0.358873,-0.358873,0.000000
273,69.000000,0.004259,0.004259,0.000000,-0.546076,-0.546076,0.000000
274,463.000000,0.028580,0.028580,0.000000,-0.044321,-0.044321,0.000000
275,670.000000,0.041358,0.041358,0.000000,0.219292,0.219292,0.000000
276,254.000000,0.015679,0.015679,0.000000,-0.310480,-0.310480,0.000000
277,690.000000,0.042593,0.042593,0.000000,0.244762,0.244762,0.000000
278,326.000000,0.020123,0.020123,0.000000,-0.218789,-0.218789,0.000000
279,450.000000,0.027778,0.027778,0.000000,-0.060876,-0.060876,0.000000
280,199.000000,0.012284,0.012284,0.000000,-0.380523,-0.380523,0.000000
281,77.000000,0.004753,0.004753,0.000000,-0.535889,-0.535889,0.000000
